,Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Class
5,3692.0,580.0,60.0,WN,MSY,BHM,4,0
21,1689.0,720.0,85.0,WN,SAN,OAK,6,0
50,845.0,420.0,165.0,WN,PHL,MCO,2,0
65,936.0,855.0,80.0,WN,BWI,BOS,7,0
70,288.0,530.0,65.0,WN,BWI,BUF,3,0
74,674.0,980.0,80.0,WN,LAS,RNO,1,0
76,780.0,450.0,190.0,WN,LAS,STL,3,0
85,1402.0,460.0,60.0,WN,FLL,TPA,1,0
101,590.0,620.0,60.0,WN,LAX,LAS,2,0
105,1424.0,425.0,85.0,WN,SFO,SAN,3,0
107,495.0,395.0,95.0,WN,LAS,SFO,1,0
110,1235.0,1050.0,75.0,WN,LAX,OAK,3,0
111,384.0,540.0,60.0,WN,STL,MDW,4,0
128,2459.0,455.0,120.0,WN,DEN,LAS,5,0
140,1181.0,880.0,115.0,WN,ELP,LAS,1,0
162,755.0,860.0,105.0,WN,STL,DAL,3,0
178,988.0,1205.0,50.0,WN,OKC,DAL,5,0
184,2972.0,1050.0,80.0,WN,SJC,SAN,6,0
186,1587.0,415.0,65.0,WN,LBB,DAL,4,0
197,1938.0,470.0,75.0,WN,OAK,ONT,5,0
200,931.0,1130.0,195.0,WN,DEN,RDU,7,0
204,1692.0,950.0,130.0,WN,PDX,LAS,2,0
211,827.0,980.0,80.0,WN,ABQ,DEN,4,0
223,1370.0,690.0,95.0,WN,MKE,MCI,4,0
227,3333.0,1010.0,55.0,WN,AUS,DAL,1,0
250,3504.0,500.0,105.0,WN,TPA,MSY,3,0
260,1592.0,1030.0,70.0,WN,MCO,ECP,7,0
265,3586.0,860.0,80.0,WN,PVD,BWI,5,0
277,2808.0,710.0,120.0,WN,DEN,STL,5,0
307,389.0,610.0,50.0,WN,SAT,HOU,1,0
311,899.0,1020.0,225.0,WN,DEN,BDL,4,0
328,618.0,835.0,75.0,WN,LAX,OAK,4,0
329,723.0,870.0,100.0,WN,MHT,BWI,7,0
364,318.0,1060.0,100.0,WN,MKE,MCI,3,0
381,153.0,405.0,115.0,WN,LAS,DEN,1,0
417,154.0,1130.0,70.0,WN,BWI,RDU,7,0
428,938.0,1040.0,80.0,WN,LAX,SMF,2,0
444,892.0,420.0,110.0,WN,BHM,BWI,2,0
462,902.0,685.0,80.0,WN,ELP,PHX,5,0
468,894.0,525.0,85.0,WN,MSY,TPA,7,0
480,1594.0,795.0,130.0,WN,RNO,DEN,3,0
483,1165.0,750.0,115.0,WN,OAK,PHX,4,0
489,3503.0,775.0,155.0,WN,BDL,MDW,7,0
518,1176.0,715.0,100.0,WN,MHT,PHL,6,0
527,1237.0,420.0,75.0,WN,MDW,CLE,2,0
535,1954.0,485.0,80.0,WN,JAN,HOU,6,0
536,2897.0,950.0,80.0,WN,ELP,SAT,6,0
537,1141.0,755.0,130.0,WN,LIT,BWI,1,0
544,1768.0,490.0,80.0,WN,HOU,TUL,6,0
585,2170.0,565.0,100.0,WN,OKC,DEN,6,0
601,1559.0,765.0,50.0,WN,MCO,RSW,5,0
604,1110.0,465.0,165.0,WN,MHT,MDW,6,0
606,2528.0,620.0,135.0,WN,MCO,PIT,1,0
612,215.0,815.0,85.0,WN,PHX,BUR,4,0
614,2720.0,890.0,95.0,WN,SFO,LAS,3,0
619,526.0,360.0,105.0,WN,PDX,SJC,2,0
630,331.0,395.0,75.0,WN,PHL,PIT,1,0
632,11.0,570.0,60.0,WN,DAL,HOU,7,0
644,1533.0,985.0,70.0,WN,DEN,ABQ,1,0
653,134.0,630.0,210.0,WN,DEN,TPA,3,0
673,3926.0,595.0,135.0,WN,HOU,ABQ,3,0
683,1589.0,750.0,175.0,WN,BWI,MCI,4,0
686,1334.0,530.0,285.0,WN,MDW,SMF,7,0
701,1092.0,390.0,65.0,WN,MDW,STL,4,0
702,638.0,990.0,175.0,WN,MCO,MKE,2,0
706,861.0,1040.0,275.0,WN,MDW,LAX,7,0
733,1139.0,465.0,100.0,WN,IND,BWI,6,0
738,2771.0,990.0,150.0,WN,PHX,MCI,5,0
750,3837.0,535.0,55.0,WN,AUS,DAL,4,0
752,643.0,1160.0,110.0,WN,SMF,PHX,7,0
753,3505.0,525.0,80.0,WN,PIT,PHL,5,0
772,1636.0,580.0,85.0,WN,MCI,MKE,4,0
803,1415.0,360.0,180.0,WN,MSY,DEN,3,0
804,770.0,735.0,105.0,WN,DAL,ELP,2,0
813,1697.0,995.0,130.0,WN,TPA,BWI,7,0
820,3761.0,1180.0,85.0,WN,BOI,SEA,5,0
825,372.0,875.0,55.0,WN,MCI,STL,2,0
845,429.0,765.0,135.0,WN,LAX,DEN,1,0
855,155.0,1150.0,85.0,WN,SFO,SAN,2,0
857,1751.0,705.0,70.0,WN,CMH,BWI,2,0
872,1133.0,640.0,70.0,WN,MAF,DAL,1,0
880,1289.0,465.0,105.0,WN,SEA,SMF,4,0
881,1921.0,460.0,90.0,WN,DAL,BHM,3,0
887,1783.0,1025.0,75.0,WN,FLL,JAX,1,0
902,1289.0,1195.0,125.0,WN,MDW,LGA,7,0
945,512.0,465.0,70.0,WN,SAN,LAS,2,0
951,572.0,455.0,85.0,WN,SNA,SFO,3,0
971,1087.0,465.0,130.0,WN,BNA,FLL,7,0
980,2185.0,435.0,70.0,WN,FLL,JAX,3,0
1000,383.0,625.0,80.0,WN,PVD,BWI,1,0
1008,327.0,460.0,60.0,WN,SJC,BUR,7,0
1009,518.0,870.0,90.0,WN,DEN,MCI,7,0
1012,3307.0,395.0,160.0,WN,BDL,MDW,5,0
1027,1498.0,1090.0,65.0,WN,BUR,SJC,1,0
1061,2442.0,480.0,205.0,WN,AUS,LAX,4,0
1073,1433.0,950.0,80.0,WN,LAX,PHX,6,0
1087,2788.0,1235.0,60.0,WN,LAX,LAS,3,0
1089,1632.0,545.0,165.0,WN,LAS,SEA,5,0
1094,1570.0,665.0,70.0,WN,LAS,LAX,5,0
1096,2049.0,925.0,70.0,WN,LAS,TUS,5,0
1122,720.0,535.0,185.0,WN,ISP,TPA,5,0
1131,1154.0,495.0,100.0,WN,SAN,SFO,3,0
1171,465.0,420.0,190.0,WN,SAN,MCI,1,0
1177,731.0,670.0,220.0,WN,DEN,PHL,2,0
1208,224.0,835.0,345.0,WN,ORF,LAS,7,0
1226,1127.0,390.0,55.0,WN,AUS,DAL,1,0
1252,3014.0,545.0,80.0,WN,LAX,SFO,6,0
1256,389.0,785.0,85.0,WN,MSY,BNA,2,0
1262,1013.0,1075.0,135.0,WN,DEN,MDW,2,0
1273,2357.0,1170.0,80.0,WN,PHL,PIT,7,0
1282,2811.0,835.0,65.0,WN,AMA,DAL,3,0
1297,2015.0,445.0,240.0,WN,SAN,MDW,5,0
1309,1442.0,565.0,160.0,WN,LAS,OMA,6,0
1313,769.0,595.0,75.0,WN,CLE,BWI,7,0
1324,882.0,930.0,105.0,WN,ORF,JAX,1,0
1325,3517.0,360.0,50.0,WN,PBI,TPA,3,0
1337,848.0,940.0,75.0,WN,LAX,TUS,3,0
1359,1992.0,515.0,150.0,WN,SAT,PHX,2,0
1360,2980.0,660.0,235.0,WN,PHX,RDU,4,0
1363,1128.0,1235.0,100.0,WN,AUS,ELP,5,0
1366,2254.0,730.0,180.0,WN,SAT,LAS,2,0
1367,2004.0,745.0,160.0,WN,MDW,DEN,5,0
1375,193.0,420.0,55.0,WN,MCO,FLL,4,0
1377,3658.0,705.0,165.0,WN,DEN,SJC,3,0
1401,1222.0,1025.0,70.0,WN,SMF,BUR,5,0
